post_id,t0_first_corrective_utc,window_hours,high_di_thresh,n_before,n_after,mean_di_before,mean_di_after,max_di_before,max_di_after,high_di_rate_before,high_di_rate_after,delta_mean_di,delta_high_di_rate,nwin_enabled,nwin_N,nwin_n_before,nwin_n_after,nwin_mean_di_before,nwin_mean_di_after,nwin_max_di_before,nwin_max_di_after,nwin_high_di_rate_before,nwin_high_di_rate_after,nwin_delta_mean_di,nwin_delta_high_di_rate
9fe3a0df-2d44-4864-a992-ef27c68f19b5,2026-01-31 10:10:35.996303+00:00,12,3,0,4,,0.5,,1.0,,0.0,,,1,5,0,4,,0.5,,1.0,,0.0,,
0c9b9f40-db9e-4c2e-9182-d2b78e4c25ae,2026-01-31 10:10:09.806563+00:00,12,3,0,4,,0.0,,0.0,,0.0,,,1,5,0,4,,0.0,,0.0,,0.0,,
abe93c20-c23d-4b7c-aaa0-b561cf0b89c0,2026-01-31 10:10:48.499381+00:00,12,3,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e8166219-3ea8-4be5-8c5c-68d8af71ac04,2026-01-31 10:12:25.891965+00:00,12,3,10,6,0.4,0.3333333333333333,1.0,1.0,0.0,0.0,-0.06666666666666671,0.0,1,5,5,5,0.4,0.4,1.0,1.0,0.0,0.0,0.0,0.0
65671c03-01f1-41a3-a4f3-ef6cbb437388,2026-01-31 10:10:48.332296+00:00,12,3,6,0,0.0,,0.0,,0.0,,,,1,5,5,0,0.0,,0.0,,0.0,,,
b48e505b-6c68-4e7d-863a-723f46bbc9ac,2026-01-31 10:11:00.547898+00:00,12,3,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c7f70037-e684-4679-a241-fd32af30fe86,2026-01-31 10:10:12.095712+00:00,12,3,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36b899f5-3fc9-4082-bb03-02fd86f14504,2026-01-31 10:14:48.124525+00:00,12,3,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f5a46115-ac9b-4888-a094-6ea525f2f581,2026-01-31 10:16:27.748423+00:00,12,3,6,10,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,5,5,5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
3cb230f1-f29d-427b-af02-fe92f30254b9,2026-01-31 10:08:38.554103+00:00,12,3,0,4,,0.0,,0.0,,0.0,,,1,5,0,4,,0.0,,0.0,,0.0,,
e9d9f9f6-7e34-481d-ba38-1193d6c54306,2026-01-31 10:09:23.136894+00:00,12,3,6,2,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1,5,5,2,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0
b9233ba2-35bd-4e2f-ab36-b1163a97ff24,2026-01-31 10:06:58.816555+00:00,12,3,0,14,,0.14285714285714285,,1.0,,0.0,,,1,5,0,5,,0.4,,1.0,,0.0,,
00bf2d2a-06bf-4a28-8c16-ac78ceb0877d,2026-01-31 10:09:20.415240+00:00,12,3,2,0,0.0,,0.0,,0.0,,,,1,5,2,0,0.0,,0.0,,0.0,,,
95f888fd-9327-4241-95d4-3a98e7e8a4ee,2026-01-31 10:08:04.232815+00:00,12,3,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35d59151-cf52-40e9-95ae-dd7374be87a6,2026-01-31 10:07:18.588403+00:00,12,3,10,10,0.2,0.0,1.0,0.0,0.0,0.0,-0.2,0.0,1,5,5,5,0.4,0.0,1.0,0.0,0.0,0.0,-0.4,0.0
06fde151-780e-49ae-8cb2-7720286c6e2f,2026-01-31 10:04:38.248729+00:00,12,3,0,14,,0.0,,0.0,,0.0,,,1,5,0,5,,0.0,,0.0,,0.0,,
e9f0d7ce-9ecf-499c-ade3-4ccf6c6ef056,2026-01-31 10:05:13.893754+00:00,12,3,2,4,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1,5,2,4,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0
f6bb966f-bff6-461e-97ed-a590b60bc71a,2026-01-31 10:07:55.587682+00:00,12,3,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00c6b5b8-0ad3-4b4c-afb9-9dbef83163e8,2026-01-31 10:00:14.334106+00:00,12,3,20,16,0.0,0.375,0.0,3.0,0.0,0.125,0.375,0.125,1,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ee3245bc-37b4-4ec8-ad37-8e0443d93d27,2026-01-31 09:56:25.955868+00:00,12,3,0,28,,0.07142857142857142,,1.0,,0.0,,,1,5,0,5,,0.2,,1.0,,0.0,,
349ded1d-a2af-41c5-a8b4-2166f3c8d435,2026-01-31 09:56:22.790715+00:00,12,3,4,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2df9b330-e67a-4a58-81e0-ca6b7edabfe1,2026-01-31 10:01:18.319546+00:00,12,3,8,0,0.25,,1.0,,0.0,,,,1,5,5,0,0.2,,1.0,,0.0,,,
c7200fa4-c437-4868-9337-d4b0812c274e,2026-01-31 09:56:47.965529+00:00,12,3,2,4,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,1,5,2,4,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0
71f19971-6c41-4816-8f42-411171893a0b,2026-01-31 09:58:18.828424+00:00,12,3,4,6,0.5,0.0,1.0,0.0,0.0,0.0,-0.5,0.0,1,5,4,5,0.5,0.0,1.0,0.0,0.0,0.0,-0.5,0.0
70cc3543-cc41-4cbf-8f9d-00a258dcc400,2026-01-31 09:56:09.778615+00:00,12,3,0,10,,0.6,,1.0,,0.0,,,1,5,0,5,,0.2,,1.0,,0.0,,
af83aee4-dc14-4494-a243-36053444b718,2026-01-31 10:31:03.988996+00:00,12,3,8,0,0.25,,1.0,,0.0,,,,1,5,5,0,0.4,,1.0,,0.0,,,
0550e149-ba84-440d-bed9-daafdf27c899,2026-01-31 09:55:32.495876+00:00,12,3,0,2,,0.0,,0.0,,0.0,,,1,5,0,2,,0.0,,0.0,,0.0,,
adfe6531-3449-4cfe-8064-7e5732663044,2026-01-31 09:56:08.702799+00:00,12,3,0,22,,0.09090909090909091,,1.0,,0.0,,,1,5,0,5,,0.0,,0.0,,0.0,,
0e977136-8def-4ce7-bcbf-b6d6db2b1796,2026-01-31 09:56:10.686877+00:00,12,3,4,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343bd3bc-7578-4ae4-815f-6b348d8f52d1,2026-01-31 09:56:08.363524+00:00,12,3,4,22,0.0,0.45454545454545453,0.0,1.0,0.0,0.0,0.45454545454545453,0.0,1,5,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7402dca5-2567-4cee-800b-6439d10b19d4,2026-01-31 09:55:40.115501+00:00,12,3,0,2,,1.0,,1.0,,0.0,,,1,5,0,2,,1.0,,1.0,,0.0,,
440d9b4c-c9fb-4d55-a47f-cf276f52f0a8,2026-01-31 10:21:55.682489+00:00,12,3,32,12,0.25,0.3333333333333333,1.0,1.0,0.0,0.0,0.08333333333333331,0.0,1,5,5,5,0.4,0.0,1.0,0.0,0.0,0.0,-0.4,0.0
69c37b18-5b36-4678-8fab-f0a69a93cae7,2026-01-31 09:19:45.629095+00:00,12,3,0,6,,0.0,,0.0,,0.0,,,1,5,0,5,,0.0,,0.0,,0.0,,
f962354d-cb3a-4b51-a540-b944953f2570,2026-01-31 09:13:42.410002+00:00,12,3,6,18,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,1,5,5,5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
